id,severity,angle,file,line,evidence,impact,recommendation,risk,validation,status
RV-001,high,offline-pwa,"app/src/store/journal-store.ts; app/src/store/journal-store.test.ts","948;258","Outbox responses are generation-checked against SSE/reset state; regressions cover delayed month and mutation responses across reset.","A stale HTTP response could overwrite newer canonical state or resurrect removed data.","Invalidate asynchronous work at lifecycle and SSE boundaries; reconcile from canonical bootstrap after a crossed boundary.","Data convergence failure after reconnect/reset.","Final Node 22 app Vitest: 24 files and 108 tests passed; targeted reset/outbox cases passed.",RESOLVED
RV-002,high,offline-pwa,"app/src/store/journal-store.ts; app/src/store/journal-store.test.ts","930;411","Permanent conflicts remove only affected optimistic rows and authoritative reset replaces the working set while preserving valid history/activity/summary projections.","Broad cleanup could discard unrelated downloaded history or leave a poisoned optimistic row.","Use targeted discard IDs and an authoritative bootstrap boundary.","Offline data loss or persistent false UI state.","Node 22 app Vitest passed permanent-conflict and authoritative-reset regressions.",RESOLVED
RV-003,high,offline-pwa,"app/src/store/journal-store.ts; app/src/store/journal-store.test.ts","427;585","Every async 401 path enters one sticky pairing-expired pause; late successes and reconciliation cannot silently re-pair.","Partial 401 handling could retry unauthorized work or present false synchronization.","Centralize pairing expiry and guard all reconnect/mutation/read completions.","Authentication confusion and repeated unauthorized traffic.","Node 22 app Vitest passed existing-cursor, late-success, reconciliation, online-only and probe 401 cases.",RESOLVED
RV-004,medium,offline-pwa,"app/src/sw.ts; app/src/pwa/cache-policy.ts; app/src/pwa/cache-policy.test.ts","31;1;5","Only the four specified history fallback prefixes use runtime caching; bootstrap and settings are explicitly excluded.","Caching authoritative runtime responses could serve stale identity/settings/bootstrap state.","Keep the service-worker allowlist explicit and regression-tested.","Stale authoritative state while online or after reset.","Node 22 app Vitest cache-policy case and final production PWA E2E passed; identical double builds produced the same service-worker hash.",RESOLVED
RV-005,medium,offline-pwa,"app/src/store/journal-lifecycle.test.ts; app/src/store/date-intent.test.ts","121;1","Offline resume restores the persisted journal timezone/day and queued captures retain the frozen base date intent.","A capture resumed after midnight could silently move to another day.","Persist and replay explicit date intent rather than recomputing from wall time.","Incorrect journal dates after offline rollover.","Node 22 app Vitest passed lifecycle and date-intent suites.",RESOLVED
RV-006,medium,offline-pwa,"app/src/store/journal-store.ts; app/src/store/journal-lifecycle.test.ts","1306;166","Shutdown flushes a pending draft snapshot and clears outbox, reconnect, assistant-burst, SSE and lifecycle work.","Unmounted work could mutate new state or lose the last draft.","Make teardown generation-aware and drain/clear every delayed task.","Lost drafts and cross-lifecycle races.","Node 22 app Vitest passed draft-flush, pending-load and timer shutdown cases.",RESOLVED
RV-007,medium,offline-pwa,"app/src/store/optimistic.ts; app/src/store/journal-store.test.ts","296;441","Summary tombstones fall back to the greatest loaded summary and then refresh canonical latest state.","Deleting or replacing the latest Summary could leave a stale or empty month projection.","Maintain month projections and canonical latest separately, then reconcile.","Incorrect weekly-summary state after SSE changes.","Node 22 app Vitest summary tombstone/fallback cases passed.",RESOLVED
RV-008,medium,offline-pwa,"app/src/hooks/use-viewport-layout.ts; app/src/hooks/use-viewport-layout.test.ts","48;79","The viewport controller ignores a transient zero-height visual viewport and resets on focus, resume, page-show and orientation changes.","iOS keyboard/orientation events could collapse the application to zero height.","Reject invalid viewport samples and force a resume recalculation.","Unusable PWA viewport until reload.","Node 22 app Vitest viewport regression suite passed; physical-device behavior is handed off in RV-043.",RESOLVED
RV-009,medium,architecture-performance,"app/src/store/optimistic.ts; app/src/store/optimistic.test.ts","74;156","Entry mutations reindex only touched date/collection buckets; a 10,000-row fixture exercises a localized update.","Rebuilding all client indexes on every capture grows linearly with the downloaded journal.","Preserve structural sharing and update only touched buckets.","Capture-frame regression as local history grows.","Node 22 app Vitest passed the large localized-index regression.",RESOLVED
RV-010,note,architecture-performance,"app/src/store/persistence.ts; app/src/store/persistence.test.ts","13;26","The crash-consistent mirror remains one IndexedDB record, but structured cloning is deferred off the synchronous capture path and writes are serialized; a 10,000-entry record round-trips atomically.","Whole-mirror persistence has scale cost, while splitting stores would weaken atomic outbox/mirror durability.","Keep the simpler atomic record until measured thresholds fail; retain the 10,000-entry regression.","Accepted memory/write amplification at very large local histories.","Sealed Node 22 benchmark passed: optimistic p95 0.6ms <16ms, committed capture 1.465ms <100ms, MCP read 2.29ms <300ms.",ACCEPTED-MEASURED
RV-011,medium,architecture-performance,"server/src/domain/journal.ts; server/src/adapters.ts; server/test/integration/adapters.test.ts","820;60;254","REST/MCP adapters use stable tuple-keyset SQL pages; same-timestamp and large fixtures assert one bounded SELECT per page without skips.","Materializing an offset-scanned result set can grow memory and query work without bound.","Page in SQL using deterministic tuple cursors.","Latency and memory growth on large journals.","Final Node 22 server Vitest passed 17 files/133 tests and integration passed 3 files/30 tests.",RESOLVED
RV-012,note,architecture-performance,"server/src/adapters.ts; docs/specs/SPEC-06-mcp-server.md","599;227","The collection resource deliberately returns the complete collection required by MCP-16, but obtains it in bounded 100-row SQL pages.","The final JSON resource can still be large even though database query memory is bounded.","Keep the v1 resource contract; revisit a versioned paged resource only if operational measurements require it.","Accepted response-size growth for unusually large collections.","Bounded-query integration regression passed; NFR benchmark passed. Contract change deferred absent a measured failure.",ACCEPTED-CONTRACT
RV-013,medium,architecture-performance,"server/src/domain/journal.ts; server/test/integration/adapters.test.ts","960;362","Activity revert eligibility batches snapshot lookups by entity rather than issuing one query per snapshot; a >500 same-timestamp fixture preserves ordering and completeness.","N+1 reads could make Review latency proportional to snapshot count.","Batch entity reads and compute comparisons in memory.","Review endpoint performance degradation.","Final Node 22 integration suite passed 3 files/30 tests.",RESOLVED
RV-014,medium,architecture-boundaries,"app/vite.config.ts; app/src/api/types.ts","97;1","The browser imports the explicit app-safe contract and the Vite production guard rejects any server-only MCP contract in emitted chunks.","MCP/server-only schema leakage couples bundle layout and expands the browser surface.","Expose a browser-safe contract entrypoint and enforce it at bundle time.","Bundle bloat and accidental server API coupling.","Node 22 app build, Vite guard tests and final clean release build passed.",RESOLVED
RV-015,high,security-mcp,"server/src/api/json-body.ts; server/src/api/routes.ts; server/test/integration/http-mcp.test.ts","1;200;453","Reserved /api and /mcp paths retain route-appropriate JSON 404/body errors and never fall through to the SPA.","Malformed or unknown API traffic could be misclassified or return the app shell.","Classify client JSON failures narrowly and reserve both prefixes.","Protocol ambiguity and false-success HTML responses.","Final Node 22 HTTP/MCP integration cases passed within 3 files/30 tests.",RESOLVED
RV-016,high,security-mcp,"server/src/api/security.ts; server/test/integration/http-mcp.test.ts","51;409","Host and Origin validation compare scheme-aware allowed origins; pairing emits the hardened device cookie.","Authority-only Origin checks can accept the wrong scheme or origin form.","Compare normalized origins and fail closed on Host/Origin mismatch.","Cross-origin mutation or pairing exposure.","Node 22 real-server Host/Origin/pairing integration passed.",RESOLVED
RV-017,medium,security-mcp,"server/src/mcp/server.ts; server/test/integration/http-mcp.test.ts","440;954","Unknown/untrusted tool names are not interpolated into content-bearing logs; mixed JSON-RPC batch rejections are audited once per call.","Attacker-controlled tool text could enter operator logs or duplicate audits.","Log fixed operation metadata and redact request content.","Sensitive-content leakage and misleading audit counts.","Node 22 mixed-batch/content-free audit integration passed.",RESOLVED
RV-018,high,security-mcp,"server/src/mcp/event-store.ts; server/src/mcp/resource-list-notifier.ts; server/test/integration/http-mcp.test.ts","29;1;1039","A capacity-512 session event store replays missed resource-list changes exactly once; notifier storms coalesce and close the stream after delivery.","A reconnect could miss or duplicate resource-list changes.","Assign event IDs, replay within a bounded session journal and close notification streams deterministically.","MCP client state divergence.","Node 22 unit race tests and real-transport reconnect integration passed.",RESOLVED
RV-019,medium,security-mcp,"server/src/contracts/mcp.ts; server/test/integration/http-mcp.test.ts","1;787","add_entry returns the canonical entry-or-summary union and the server exposes exactly seven tools with the documented annotations.","A weaker output schema can reject legitimate summary filing or drift from the domain.","Share one canonical union at the MCP boundary and assert the exact inventory.","Client schema failure and contract drift.","Node 22 contract and seven-tool transport tests passed.",RESOLVED
RV-020,high,security-mcp,"server/src/api/sse.ts; server/test/unit/sse.test.ts","66;7","Each SSE client has a maximum buffered-byte budget and is disconnected on backpressure before later mutations can grow its queue.","A paused client could retain unbounded server memory.","Bound per-client buffering and force cursor-based replay after disconnect.","Denial of service and process exhaustion.","Node 22 unit test passed; independent 100,000-notification paused-client probe completed near flat heap and retained only one coalesced event.",RESOLVED
RV-021,note,security-mcp,"server/src/mcp/event-store.ts; server/src/mcp/resource-list-notifier.ts","34;1","Replay is session-local and capped at 512; no keepalive frames are sent, and list-change streams close after notification so clients reconnect with Last-Event-ID.","This differs from an indefinitely open heartbeat stream but removes an otherwise unsafe backpressure path.","Retain the bounded reconnect design and exact-once transport tests.","Accepted reconnect overhead and replay-window limit.","Exact-once reconnect, coalescing and SDK transport tests passed; no correctness finding remains.",ACCEPTED-DESIGN
RV-022,critical,domain-durability,"server/src/jobs/writer-lease.ts; server/test/writer-lease.test.ts","29;17","A private SQLite-backed writer lease rejects a concurrent process, detects dead/PID-reused owners and releases only its own token.","Two live writers can split journal state or corrupt assumptions around WAL/maintenance.","Acquire the lease before opening the writable runtime and release it last.","Data corruption or lost writes.","Node 22 process-level kill/recovery and metadata tests passed.",RESOLVED
